id;brand;name;comment;active;completed;date;work_minutes;work_pause
1;POMODORO;Shoes mobile;static;true;false;2022-06-24T19:12:44;65784;47253
2;POMODORO;silver Product;responsive;true;false;2022-06-24T16:34:43;8793;97232
3;REGULAR;Cambridgeshire revolutionary;array repurpose;false;true;2022-06-25T03:14:09;53066;88859
4;REGULAR;Steel Account;web-readiness withdrawal;false;true;2022-06-25T11:33:50;51531;3108
5;POMODORO;Coordinator;Investor Personal transitional;false;false;2022-06-24T18:49:15;12320;32665
6;POMODORO;leading-edge Bedfordshire;Ohio Generic;true;false;2022-06-25T06:25:09;61107;28659
7;POMODORO;backing;vertical Tuna;true;true;2022-06-24T19:02:05;38075;49662
8;REGULAR;users Personal Creative;Infrastructure national;true;false;2022-06-25T15:01:51;46500;44148
9;REGULAR;Tools Oregon Garden;Operations reboot mint;false;false;2022-06-25T04:02:23;40839;18001
10;POMODORO;array invoice;connect;false;true;2022-06-25T13:23:55;82964;92218
